Designator,Mid X,Mid Y,Layer,Rotation
"C1",15.0985,35.5456,top,-90.0000
"C2",5.5417,27.5265,top,-45.0000
"C3",4.4544,15.0985,top,0.0000
"C4",12.4735,5.5417,top,45.0000
"C5",24.9015,4.4544,top,90.0000
"C6",34.4583,12.4735,top,135.0000
"C7",35.5456,24.9015,top,180.0000
"C9",23.5000,31.0000,top,180.0000
"C10",28.6718,34.9718,top,-135.0000
"D1",20.0000,35.0000,top,0.0000
"D2",9.3934,30.6066,top,45.0000
"D3",5.0000,20.0000,top,90.0000
"D4",9.3934,9.3934,top,135.0000
"D5",20.0000,5.0000,top,180.0000
"D6",30.6066,9.3934,top,-135.0000
"D7",35.0000,20.0000,top,-90.0000
"D8",30.6066,30.6066,top,-45.0000
"R1",25.3000,36.3000,top,180.0000
"U1",25.1000,33.7000,top,0.0000
